alpha,fixed_point_reward,fixed_point_gap,approval_probability,prob_any_approval,false_approval_probability,true_approval_probability,entry_rate,null_entry_rate,mean_sample_size,participation_threshold,expected_false_approvals,expected_true_approvals,expected_false_negatives,mfdr,pfdr,fdr,sensitivity,specificity,baseline_best_n,baseline_utility,baseline_active,cost_floor,mfdr_bound_action_specific,mfdr_bound_null_entry,mfdr_bound_effective,mfdr_bound_monopoly,pfdr_bound_action_specific,pfdr_bound_null_entry,pfdr_bound_effective,pfdr_bound_monopoly,fdr_bound_action_specific,fdr_bound_null_entry,fdr_bound_effective,fdr_bound_monopoly
0.27,3.9217615127563477,-5.11164826910715e-07,0.3824563507557693,0.9999349341366549,0.0,0.3824563507557693,0.5262027093326131,0.0,10.177389490204902,0.5398671096345515,0.0,7.649127015115385,4.7299612211358735,0.0,0.0,0.0,0.6179071405853198,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999349341366549,0.9999349341366549
0.28,3.9330317080020905,-0.007565338379537767,0.3820950459298565,0.9999341685313572,0.0044113979517296075,0.3776836479781269,0.6352503971090553,0.01629598529649253,6.985597614313967,0.4966777408637874,0.08822795903459216,7.5536729595625385,4.82541527668872,0.011545289578393106,0.011545289578393106,0.011544529535024254,0.610196228946988,0.9884229129309335,11,0.029279208934169354,True,1.0,0.011703495178191121,0.011941730026658194,1.0,1.0,0.011703495178191121,0.011941730026658194,1.0,1.0,0.011702724719915287,0.011940943885032404,0.9999341685313572,0.9999341685313572
0.29000000000000004,3.9330317080020905,-0.007565338379537767,0.3820950459298565,0.9999341685313572,0.0044113979517296075,0.3776836479781269,0.6352503971090553,0.01629598529649253,6.985597614313967,0.4966777408637874,0.08822795903459216,7.5536729595625385,4.82541527668872,0.011545289578393106,0.011545289578393106,0.011544529535024254,0.610196228946988,0.9884229129309335,11,0.029279208934169354,True,1.0,0.011703495178191121,0.012368220384753131,1.0,1.0,0.011703495178191121,0.012368220384753131,1.0,1.0,0.011702724719915287,0.012367406166640706,0.9999341685313572,0.9999341685313572
0.3,3.778935670852661,-5.793904049866683e-07,0.3969211457513854,0.9999594974822099,0.0,0.3969211457513854,0.6189544118125629,0.0,7.758171455057177,0.5033222591362126,0.0,7.938422915027708,4.440665321223552,0.0,0.0,0.0,0.641276866561191,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999594974822099,0.9999594974822099
0.31,3.680480718612671,1.9570628495557685e-07,0.4075438655915272,0.9999716127049233,0.0,0.4075438655915272,0.6107256683321244,0.0,8.403446811773243,0.5066445182724253,0.0,8.150877311830545,4.228210924420715,0.0,0.0,0.0,0.6584392288247283,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999716127049233,0.9999716127049233
0.32,3.6256952583789825,-0.01653565072891716,0.415600245472339,0.999978412592145,0.0,0.415600245472339,0.6107256683321244,0.0,8.922732618315365,0.5066445182724253,0.0,8.31200490944678,4.067083326804479,0.0,0.0,0.0,0.6714553407177176,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978412592145,0.999978412592145
0.33,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.34,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.35000000000000003,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.36000000000000004,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.37,3.6130696535110474,-6.565095107546881e-07,0.4151504214238334,0.999978077825717,0.0,0.4151504214238334,0.6024469973621003,0.0,8.970789319172294,0.5099667774086379,0.0,8.303008428476668,4.07607980777459,0.0,0.0,0.0,0.6707285924468905,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.999978077825717,0.999978077825717
0.38,3.30130398273468,-2.880588700904241e-07,0.45436346734156546,0.999994528973615,0.026958533878577436,0.42740493346298797,0.6978778374373528,0.07892342562478988,6.9787783743735226,0.4700996677740864,0.5391706775715487,8.54809866925976,3.8309895669914997,0.05933252960742879,0.05933252960742879,0.05933220499759382,0.6905273236705167,0.9292511586164424,10,0.24443685286678418,True,1.0,0.06547716544870208,0.06600641093108536,1.0,1.0,0.06547716544870208,0.06600641093108536,1.0,1.0,0.0654768072214023,0.06600604980826957,0.999994528973615,0.999994528973615
0.39,3.2551932334899902,9.064456061302906e-07,0.46080002075797116,0.9999956848356998,0.02464051820155917,0.43615950255641206,0.6903002572987654,0.07134584548620246,7.416214238431317,0.473421926910299,0.4928103640311834,8.723190051128242,3.655898185123018,0.053473344382727925,0.053473344382727925,0.053473113636461234,0.7046714495162103,0.9353344613730616,10,0.22705526184290692,True,1.0,0.058363798177684736,0.06038385088145123,1.0,1.0,0.058363798177684736,0.06038385088145123,1.0,1.0,0.05836354632830641,0.06038359031521359,0.9999956848356998,0.9999956848356998
